dataset,dc_5,nc_3,nc_5,nc_10,nc_25,nc_30,nc_50,nc_75
breast_cancer_wisconsin_prognostic,0.9601088341338581,0.44000374358991906,0.626252700181815,0.8684396127303251,0.8684396127303251,0.8684396127303251,0.9022907254548851,0.91950458964873
breast_cancer_coimbra,0.858069819635851,0.519184310275137,0.658485750729307,0.9024779258651201,0.9024779258651201,0.9024779258651201,0.924293555156745,0.926866080896217
hiva,0.159796937629601,0.27703261652231503,0.36633516596729404,0.519781189168754,0.51956721331552,0.516562078721788,0.5396329853261891,0.5455037583151771
fashion_mnist,0.235162395980886,0.0,0.35481705176259504,0.638379737099508,0.639851231723194,0.636547990882243,0.6994781457533561,0.7304475769110551
spectf_heart,0.48564135264385805,0.22631341460916002,0.35963213152614004,0.6703178346870581,0.6703178346870581,0.6703178346870581,0.786020833294214,0.879279803737753
student_grade,0.592603067405955,0.0,0.386090994561951,0.7237197012487261,0.7237197012487261,0.7237197012487261,0.7939409050143601,0.8250417083989361
zoo,0.408015617514002,0.545504683466928,0.638265410335475,0.8461760857347521,0.8461760857347521,0.8461760857347521,0.887391036061368,0.895982692585464
birds_bones_and_living_habits,0.8718833479959881,0.5314515489888261,0.6722225623463961,0.842379319516061,0.842379319516061,0.842379319516061,0.8697831523254571,0.881592775899511
coil20,0.207841358002766,0.43534289398055104,0.684017226312803,0.8534893795594861,0.8534893795594861,0.8534893795594861,0.8499071007802931,0.841523941657033
street_view_house_numbers,0.404155732782331,0.16987810173432702,0.271266897860376,0.528849367191738,0.528849367191738,0.528849367191738,0.6026535417908061,0.6423921169066831
sms_spam_collection,0.185574066743444,0.13664872447037602,0.13009303698919,0.17321964581116,0.17321964581116,0.17321964581116,0.225757340607592,0.270749365707168
parkinsons,0.8044124810375871,0.49474058406910504,0.678443964170728,0.881136575145789,0.881136575145789,0.881136575145789,0.8940850668380431,0.8967242163802821
wine_customer,0.7736548297087931,0.540707709973656,0.732644694302495,0.9257026982473611,0.9257026982473611,0.9257026982473611,0.9405934325106021,0.9418988694113101
heart_disease,0.5741602161386821,0.389079856336408,0.547186665182198,0.809494330063206,0.809494330063206,0.809494330063206,0.8472447476117251,0.859407978640456
optical_recognition_of_handwritten_digits,0.171608645575306,0.257323572307645,0.414644308499072,0.711910564272054,0.7123357280796391,0.704863329463796,0.7660444854200601,0.787493947570155
wireless_indoor_localization,0.48534620646078,0.0,0.42551792249713605,0.706228045137917,0.706228045137917,0.706228045137917,0.7504261266373631,0.76665134021303
spambase,1.6660487616964632,0.43785714187143604,0.578002451391002,0.8071024975088691,0.8106199719687801,0.805554645007546,0.852823076061001,0.866661293857338
hate_speech,0.11250660839903001,0.0,0.43898456796532703,0.597478303604398,0.60431613998539,0.594520053729514,0.510859240973189,0.495234655837389
classification_in_asteroseismology,1.197327937061543,0.5227229622496801,0.6977278186040891,0.9056959001799041,0.9056959001799041,0.9056959001799041,0.9331807141394741,0.9405857823545991
microbes,0.391536241069021,0.0,0.558587045502258,0.7441498012427711,0.741356786459027,0.7379980513816851,0.7855078444518281,0.8021386972415671
wilt,0.682395387794113,0.35938347439976204,0.525149259069444,0.7933525164176021,0.794538282730854,0.796132558667716,0.836782580353697,0.8522326419857401
flickr_material_database,0.179785107074482,0.15614349920185,0.23847316231798402,0.453483589497482,0.453483589497482,0.453483589497482,0.5021442335095591,0.522670933718532
letter_recognition,0.27566776539285703,0.0,0.5604636696117961,0.757364256577243,0.7590879472089801,0.7608595150147731,0.772091271126063,0.7764708173571311
