,umato_srho_0,pca_tnc_25,tsne_pr_0,umato_tnc_25,isomap_tnc_25,lle_pr_0,isomap_pr_0,tsne_tnc_25,umap_pr_0,umap_tnc_25,pca_pr_0,lle_tnc_25,umato_pr_0
breast_cancer_wisconsin_prognostic,0.9648977870816251,0.9997548065867431,0.9088351666210971,0.9900535416702401,0.999708865854362,0.8545265528708501,0.999991695820127,0.9977445147035451,0.7179255929522581,0.997264329924985,0.9999910727664301,0.934960394204263,0.940184728901
breast_cancer_coimbra,0.660064912010293,0.9991489018232761,0.957157337176273,0.9786156964481931,0.999427496376699,0.8969529673321881,0.9998067686884261,0.995069342313981,0.7914002490155481,0.987285900905265,0.9998064685857521,0.925612593111869,0.656992930403262
hiva,0.614021175019698,0.736660011069697,0.6615172609248331,0.811031598581845,0.778133638651169,0.44007570014002706,0.56429072648182,0.8724363552486161,0.466054447164566,0.8667517064195641,0.5729302345349241,0.735425685804685,0.606624047022151
fashion_mnist,0.858359880615694,0.9399737113356861,0.8167851704047121,0.9596556292053341,0.9532259627443931,0.7271972380793531,0.8392155129755771,0.979564615971324,0.7834815928658111,0.9758719220189881,0.875918673736063,0.941629342555035,0.8548584609498221
spectf_heart,0.786084989303072,0.858964090548847,0.9307017319562191,0.8397151825888901,0.8661030056438621,0.8848855070230661,0.9408700771316941,0.902804403272573,0.5223553961821821,0.8249686775822701,0.947994589530978,0.846018893864483,0.597195855762877
student_grade,0.878526678294072,0.9758872511563251,0.9586185021830561,0.9368213914724901,0.9760648514716951,0.9736015991193321,0.9886530974703871,0.9763329849672231,0.62777143601336,0.9701423754606221,0.992206524955979,0.9730266365275021,0.772748649255338
zoo,0.696799117912524,0.9825206248512001,0.9659855649488891,0.9639155490242131,0.9844912811673481,0.8646039242568111,0.9767888496196261,0.9855943286760771,0.765393917280749,0.951065600708311,0.976291476410137,0.9545371393816651,0.90306443850586
birds_bones_and_living_habits,0.9369465021730291,0.9956518160556601,0.95124031988582,0.9349655198595481,0.9957407279566151,0.8994388015816721,0.9991156515389501,0.9933791200542261,0.767798656852817,0.9858157421678361,0.9990635023448391,0.968433155381597,0.891155524953068
coil20,0.7851610822347611,0.9191262304791471,0.778639252493256,0.954767156496754,0.950839106571384,0.57182916996414,0.737676545888395,0.9852644969335821,0.639724542640076,0.9871268448623021,0.771870468705241,0.9363569389612171,0.754008550861327
street_view_house_numbers,0.8887579080771141,0.9118887387462881,0.8980831149325951,0.902822353154034,0.911816853885809,0.740777828447798,0.926843509843398,0.9292671061051251,0.8559157251086381,0.914329333029914,0.9298077385157201,0.8935233060378791,0.901099398374652
sms_spam_collection,0.5296941795915561,0.639807555043518,0.7347635881752621,0.6177380399998681,0.624022098399392,0.220229137892255,0.24258039646665402,0.684545456813864,0.235470469924719,0.606780868639162,0.39322426676421,0.646286927070965,0.49271209169823404
parkinsons,0.6424917544353791,0.9943547906110771,0.957552628280909,0.9858840932828251,0.995010311946745,0.9199035394358521,0.997261727542823,0.9928779609646431,0.537847668622736,0.9809933932512551,0.9969648931336351,0.9902306407509551,0.7011070702158251
